src_subject_id,Bartoshuk_items,angle,RT,labels,flags
sub-0002,"Brightness of the light in this room",28.087893168209,4.98689209995791,moderate,
sub-0002,"Brightness of a dimly lit restaurant",16.8955459224874,4.22922930005006,moderate,
sub-0002,"Brightest light you have ever seen",172.05652818941,6.094784899964,strongest sensation,
sub-0002,"Loudness of a whisper",8.930590100419,3.65771180007141,weak,
sub-0002,"Loudness of a conversation",28.1873737645758,2.90504260000307,moderate,
sub-0002,"Loudest sound you have heard",170.795959045532,3.70102159993257,strongest sensation,
sub-0002,"Strongest smell of a flower",136.735704588928,2.98320130002685,strongest sensation,
sub-0002,"Sweetness of a coca-cola",63.5563380046728,4.0792497000657,very strong,
sub-0002,"Bitterness of celery",22.8073777387998,3.17951160005759,moderate,
sub-0002,"Strongest saltiness experienced",127.416976136322,3.36115670006257,strongest sensation,
sub-0002,"Strongest sweetness experienced",127.921078395388,2.16163049999159,strongest sensation,
sub-0002,"Sweetness of candy",62.0628571734614,4.92346249998081,strong,
sub-0002,"Strongest sourness experienced",63.3198972114681,2.01797170005739,very strong,
sub-0002,"Warmth of warm bread in your mouth",22.7672628061105,3.58539639995433,moderate,
sub-0002,"Strongest coldness experienced",169.215702132437,3.43127000005916,strongest sensation,
sub-0002,"Strongest heat experienced",174.2894068625,2.27525579999201,strongest sensation,
sub-0002,"Strongest oral pain experienced (e.g., toothache)",162.12912642152,3.89728949998971,strongest sensation,
sub-0002,"Strongest stomach ache experienced",163.196723597964,2.02332670008764,strongest sensation,
sub-0002,"Strongest headache experienced",150.001318460472,1.8898307000054,strongest sensation,
sub-0002,"Strongest injury-induced pain experienced (e.g. burns, scrapes, broken limbs, etc.)",167.362420177548,6.39015909994487,strongest sensation,
,"Thermode",0,0,<undefined>,
,"Thermode",0,0,<undefined>,
,"Thermode",0,0,<undefined>,
,"Thermode",0,0,<undefined>,
